City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Qostanay,0,KZ,1537804800,70,53.17,63.58,48.2,6.71
Ubeda,0,ES,1537808451,73,43.34,-7.38,62.13,5.64
Smolensk,92,RU,1537808452,91,54.79,32.05,46.65,28.57
Ekhabi,0,RU,1537808452,94,53.51,142.97,43.14,9.78
Narok,88,KE,1537808512,60,-1.09,35.87,64.74,9.44
Alice Springs,0,AU,1537806600,27,-23.7,133.88,53.6,5.82
Bundaberg,80,AU,1537808512,100,-24.87,152.35,67.08,10.67
Padang,24,ID,1537808513,100,-0.92,100.36,79.86,7.09
Contamana,0,PE,1537808514,42,-7.35,-75.01,95.16,2.51
Verkh-Chebula,8,RU,1537808515,91,56.03,87.61,42.87,5.41
Mubende,0,UG,1537808515,92,0.56,31.4,64.47,2.95
Brae,40,GB,1537806000,61,60.4,-1.35,50.0,17.22
Margate,75,AU,1537806600,70,-43.03,147.26,42.8,12.75
Mahwa,0,IN,1537808516,95,27.05,76.93,73.29,6.64
Lengshuijiang,76,CN,1537808516,95,27.66,111.45,68.52,2.39
Gibara,75,CU,1537804200,59,21.11,-76.13,89.6,11.41
Priargunsk,0,RU,1537808517,67,50.37,119.09,29.46,3.51
Langenburg,32,CA,1537808517,97,50.84,-101.7,41.97,9.78
Visnes,75,NO,1537806000,61,59.36,5.22,48.2,16.11
Cartagena del Chaira,24,CO,1537808518,46,1.33,-74.84,93.27,2.95
Luganville,92,VU,1537808519,100,-15.51,167.18,76.26,15.82
Mundo Nuevo,0,CL,1537808400,56,-32.72,-71.41,68.0,11.41
Vostok,92,RU,1537808519,99,46.45,135.83,43.77,2.73
Guerrero Negro,0,MX,1537808520,67,27.97,-114.04,77.43,7.43
Leopold,90,US,1537805940,100,38.1,-86.58,71.06,10.29
Beyneu,8,KZ,1537808520,32,45.32,55.19,67.26,8.66
Ulaangom,76,MN,1537808520,89,49.98,92.07,36.21,2.95
Cortes,8,PH,1537808521,100,9.28,126.19,71.04,2.73
Kaeo,20,NZ,1537808521,77,-35.1,173.78,48.36,13.8
Lira,100,UG,1537808522,33,2.25,32.9,82.83,8.1
Tateyama,92,JP,1537808522,100,36.66,137.31,59.16,2.06
Bandarbeyla,0,SO,1537808522,96,9.49,50.81,77.88,25.66
Dandong,0,CN,1537808523,87,40.12,124.37,43.86,2.84
Baykit,92,RU,1537808523,98,61.68,96.39,42.96,2.73
Rio de Janeiro,0,BR,1537804800,69,-22.91,-43.21,91.4,12.75
Kirsanov,80,RU,1537808524,79,52.65,42.73,52.32,12.8
Urengoy,0,RU,1537808524,89,65.96,78.37,35.13,3.06
Dwarka,90,IN,1537806600,94,28.58,77.04,75.2,9.17
Te Anau,24,NZ,1537808525,86,-45.41,167.72,27.03,3.06
Kargala,44,RU,1537808586,96,56.62,83.96,45.21,3.18
Dire Dawa,0,ET,1537808587,52,9.59,41.86,61.32,3.51
North Las Vegas,1,US,1537805700,19,36.2,-115.11,87.08,4.7
Viedma,0,AR,1537808527,41,-40.81,-62.99,62.85,6.76
Mount Isa,0,AU,1537806600,17,-20.73,139.49,71.6,10.29
Tautira,20,PF,1537806600,68,-17.73,-149.15,71.6,3.36
Arawa,100,NG,1537808528,94,7.05,3.9,77.61,3.4
Yoichi,76,JP,1537808528,100,43.19,140.77,58.17,10.0
Guozhen,92,CN,1537808528,76,29.3,113.14,70.14,5.53
Narayanganj,40,BD,1537806600,79,23.62,90.5,84.2,5.82
Buala,92,SB,1537808529,100,-8.15,159.59,78.06,5.64
Mossendjo,92,CG,1537808651,91,-2.95,12.72,74.91,2.06
Aranos,100,NA,1537808590,9,-24.14,19.11,83.73,7.99
Litovko,80,RU,1537808590,98,49.24,135.18,39.45,2.73
Quelimane,20,MZ,1537804800,74,-17.88,36.89,78.8,12.75
Port Moresby,90,PG,1537804800,88,-9.47,147.16,73.4,9.17
Sonoita,40,US,1537804680,47,31.68,-110.66,82.04,3.36
Laguna,40,MX,1537804260,74,27.52,-110.01,86.0,4.7
Zhuhai,0,CN,1537804800,53,40.71,112.04,50.0,4.47
Voznesenye,88,RU,1537808592,100,61.02,35.48,48.36,5.41
Muyezerskiy,56,RU,1537808593,72,63.93,31.65,43.86,6.42
Hoyanger,75,NO,1537806000,93,61.22,6.07,46.4,4.7
Miandrivazo,24,MG,1537808594,57,-19.53,45.46,74.73,4.85
Northam,20,GB,1537806000,50,51.04,-4.21,57.2,5.82
Sur,20,OM,1537808595,82,22.57,59.53,85.89,6.08
Coihaique,90,CL,1537808400,61,-45.58,-72.07,46.4,3.36
Rawson,0,AR,1537808596,47,-43.3,-65.11,58.53,9.22
Sulangan,56,PH,1537808596,100,11.14,123.72,83.73,15.82
Turayf,0,SA,1537804800,18,31.68,38.65,91.4,6.93
Oneida,90,US,1537807200,70,41.07,-90.23,71.96,3.36
Bonnyville,75,CA,1537804800,93,54.27,-110.74,37.4,4.7
Altay,92,CN,1537808598,94,47.83,88.13,40.17,1.39
Ola,20,RU,1537804800,100,59.58,151.3,28.4,4.97
Jaspur,92,IN,1537808599,94,29.28,78.83,74.37,2.39
Warrington,20,GB,1537806000,62,53.39,-2.59,57.2,12.75
Pochutla,40,MX,1537803720,59,15.74,-96.47,89.6,6.2
Wajima,92,JP,1537808601,94,37.4,136.9,67.98,6.2
Iberia,8,PE,1537808601,47,-11.41,-69.49,93.54,2.95
Vilhena,75,BR,1537804800,43,-12.74,-60.15,89.6,8.05
Vila do Maio,20,CV,1537804800,51,15.13,-23.22,86.0,18.34
Portland,40,US,1537806360,80,45.52,-122.67,53.96,2.95
Kathu,92,ZA,1537808603,48,-27.7,23.05,73.74,3.74
San Jose,24,PH,1537808154,97,15.79,120.99,69.87,2.28
Mount Gambier,32,AU,1537808604,88,-37.83,140.78,41.88,3.4
Hobyo,12,SO,1537808604,81,5.35,48.53,77.97,16.93
Sitka,0,US,1537808604,69,37.17,-99.65,76.26,14.36
Omsukchan,0,RU,1537808604,69,62.53,155.8,10.02,2.17
Kidal,8,ML,1537808605,26,18.44,1.41,92.73,3.85
Hammerfest,75,NO,1537806000,60,70.66,23.68,41.0,41.38
La Sarre,80,CA,1537808605,76,48.8,-79.2,45.93,13.02
Manono,64,CD,1537808605,61,-7.3,27.4,84.54,1.72
Lalsot,40,IN,1537804800,83,26.56,76.33,78.8,6.93
Pankovka,92,RU,1537808606,100,58.5,31.2,49.89,14.03
Worcester,20,GB,1537806000,44,52.19,-2.22,59.18,2.24
Quesnel,90,CA,1537804800,100,52.98,-122.49,46.4,2.95
George,40,NG,1537804800,79,6.63,3.35,84.2,6.93
Sayyan,24,YE,1537808607,24,15.17,44.32,67.89,7.65
Savalou,24,BJ,1537808607,79,7.93,1.98,80.31,2.84
Ust-Maya,32,RU,1537808668,88,60.42,134.54,30.81,2.28
Phonhong,20,LA,1537804800,100,18.5,102.42,78.8,2.51
Golkoy,0,TR,1537808669,57,40.69,37.62,61.14,2.73
Azovskaya,0,RU,1537804800,72,44.79,38.62,68.0,6.71
Antofagasta,40,CL,1537808400,63,-23.65,-70.4,62.6,13.87
Fortuna,20,ES,1537806600,74,38.18,-1.13,91.4,10.29
Kailua,75,US,1537805820,96,21.39,-157.74,75.02,4.07
Salalah,0,OM,1537804200,78,17.01,54.1,78.8,5.82
Gamba,48,CN,1537808670,76,28.28,88.52,27.48,2.51
Mnogovershinnyy,0,RU,1537808670,89,53.94,139.92,37.2,4.41
Adzope,44,CI,1537808671,94,6.11,-3.86,78.42,4.52
Strezhevoy,90,RU,1537804800,87,60.73,77.6,55.4,2.24
Cap-aux-Meules,75,CA,1537804800,100,47.38,-61.86,50.0,19.46
Zhezkazgan,0,KZ,1537808671,82,47.8,67.71,43.95,8.43
Horta,90,ES,1537806600,73,41.43,2.16,77.0,9.17
Ranfurly,24,CA,1537808672,62,53.41,-111.68,51.06,14.92
Aleksandrov Gay,0,RU,1537808672,87,50.14,48.57,48.0,3.62
Hirara,80,JP,1537808673,100,24.8,125.28,82.56,23.76
Baker City,1,US,1537804560,57,44.77,-117.83,46.04,3.06
Mari-Turek,92,RU,1537808673,100,56.79,49.62,48.81,6.98
Lapua,92,FI,1537806000,70,62.97,23.01,46.4,4.7
Ahipara,68,NZ,1537808674,89,-35.17,173.16,52.23,19.84
Beloha,0,MG,1537808674,94,-25.17,45.06,66.63,4.41
Taoudenni,0,ML,1537808674,14,22.68,-3.98,98.49,4.74
Altagracia de Orituco,80,VE,1537808674,68,9.86,-66.38,86.07,12.8
Gucheng,100,CN,1537808675,74,32.27,111.65,65.37,4.41
Zhigansk,80,RU,1537808675,89,66.77,123.37,39.27,5.19
Panaba,92,MX,1537808603,71,21.28,-88.27,87.6,6.53
Vao,88,EE,1537808676,84,59.1,26.19,48.36,9.44
Sao Pedro do Sul,90,BR,1537804800,83,-29.62,-54.18,69.8,4.7
Makat,12,KZ,1537808676,73,47.65,53.35,63.57,10.78
Ahuimanu,75,US,1537805820,96,21.44,-157.84,75.02,4.07
Rorvik,40,NO,1537806000,75,64.86,11.24,42.8,16.11
Zhangye,92,CN,1537808677,65,38.94,100.46,52.23,4.41
Camacha,40,PT,1537806600,69,33.08,-16.33,77.0,16.11
Saint-Pierre,75,FR,1537806600,51,48.95,4.24,59.0,11.41
Saurimo,0,AO,1537804800,48,-9.66,20.4,86.0,5.82
Dryden,90,CA,1537806480,93,49.79,-92.84,51.8,9.17
Manzhouli,0,CN,1537808679,72,49.6,117.43,29.46,2.39
Ancud,64,CL,1537808493,66,-41.87,-73.83,51.33,11.01
Garowe,88,SO,1537808679,28,8.41,48.48,85.62,5.97
Los Llanos de Aridane,75,ES,1537806600,73,28.66,-17.92,77.0,12.75
Newtownards,80,GB,1537806000,54,54.59,-5.69,57.2,8.05
Maamba,0,ZM,1537808740,33,-17.36,27.22,67.17,4.63
Stephenville,90,US,1537805700,88,32.22,-98.2,75.92,6.31
Nouadhibou,40,MR,1537804800,88,20.93,-17.03,75.2,16.11
Kutum,12,SD,1537808741,21,14.2,24.66,82.47,9.78
Cabatuan,36,PH,1537808741,95,16.95,121.67,72.39,3.4
Kathmandu,40,NP,1537806000,88,27.71,85.32,69.8,3.36
Richards Bay,32,ZA,1537808741,94,-28.77,32.06,66.63,2.39
Ovalle,0,CL,1537808742,87,-30.6,-71.2,64.83,3.96
Lasa,0,CY,1537806600,78,34.92,32.53,80.6,8.05
Mokshan,88,RU,1537808743,73,53.44,44.61,49.71,8.43
Bara,80,NG,1537808743,52,10.41,10.6,85.35,7.2
Beringovskiy,12,RU,1537808743,100,63.05,179.32,37.11,5.41
Lagoa,0,PT,1537806600,45,37.14,-8.45,86.0,6.93
Vila Velha,20,BR,1537808400,58,-3.71,-38.6,86.0,19.46
Herat,0,AF,1537808100,15,34.35,62.22,73.4,3.74
Lorengau,36,PG,1537808745,100,-2.02,147.27,82.56,5.08
Aqtobe,0,KZ,1537804800,45,50.28,57.21,64.4,8.95
Chapais,1,CA,1537804800,56,49.78,-74.86,41.0,6.93
Fort Nelson,20,CA,1537804800,81,58.81,-122.69,46.4,3.74
Peniche,0,PT,1537806600,25,39.36,-9.38,96.8,11.41
Hilter,76,DE,1537806300,66,52.83,7.28,53.6,6.93
Verkhnyaya Inta,0,RU,1537808746,85,65.99,60.32,55.56,6.2
Anadyr,40,RU,1537804800,100,64.73,177.51,33.8,4.47
